Date,Montant Dette,APR,Taux Journalier,Interet Journalier,Interet Cumule,Transaction
2024-06-01,203118232.480014,13.008740%,0.035640%,72366.322925,2562819.087962,
2024-06-02,203192147.490841,13.282401%,0.036390%,73915.010827,2636734.098789,
2024-06-03,203242858.059262,9.109288%,0.024957%,50710.568421,2687444.667210,
2024-06-04,203293906.147819,9.167630%,0.025117%,51048.088557,2738492.755766,
2024-06-05,0.000000,0.000000%,0.000000%,0.000000,2738492.755766,Remboursement 203438515.000000
2024-09-10,100024952.563633,9.107686%,0.024953%,24952.563633,2763445.319400,Emprunt 100000000.000000
2024-09-11,100050224.225343,9.221855%,0.025265%,25271.661710,2788716.981109,
2024-09-12,100076319.319984,9.519928%,0.026082%,26095.094641,2814812.075750,
2024-09-13,100102021.498163,9.374141%,0.025683%,25702.178179,2840514.253930,
2024-09-14,100126576.232315,8.953344%,0.024530%,24554.734151,2865068.988081,
2024-09-15,100152144.519286,9.320627%,0.025536%,25568.286972,2890637.275053,
2024-09-16,100176299.529536,8.803185%,0.024118%,24155.010250,2914792.285303,
2024-09-17,100200235.793337,8.721361%,0.023894%,23936.263801,2938728.549104,
2024-09-18,100224205.022720,8.731286%,0.023921%,23969.229382,2962697.778486,
2024-09-19,100249674.072877,9.275407%,0.025412%,25469.050157,2988166.828643,
2024-09-20,100276842.117886,9.891640%,0.027100%,27168.045010,3015334.873653,
2024-09-21,100305010.616296,10.253117%,0.028091%,28168.498410,3043503.372063,
2024-09-22,100330896.551153,9.419635%,0.025807%,25885.934857,3069389.306920,
2024-09-23,100357666.974252,9.738978%,0.026682%,26770.423099,3096159.730019,
2024-09-24,100384161.180823,9.635921%,0.026400%,26494.206571,3122653.936590,
2024-09-25,100408149.011795,8.722052%,0.023896%,23987.830972,3146641.767562,
2024-09-26,100434540.204896,9.593629%,0.026284%,26391.193101,3173032.960663,
2024-09-27,100458124.313388,8.570955%,0.023482%,23584.108492,3196617.069154,
2024-09-28,100483382.300237,9.177123%,0.025143%,25257.986849,3221875.056003,
2024-09-29,100508776.405910,9.224260%,0.025272%,25394.105673,3247269.161677,
2024-09-30,100533381.323327,8.935334%,0.024480%,24604.917416,3271874.079093,
2024-10-01,100554914.916288,7.818061%,0.021419%,21533.592961,3293407.672054,
2024-10-02,100577551.556009,8.216777%,0.022512%,22636.639721,3316044.311775,
2024-10-03,100601294.590231,8.616443%,0.023607%,23743.034222,3339787.345997,
2024-10-04,100625726.519583,8.864353%,0.024286%,24431.929352,3364219.275349,
2024-10-05,100652926.772767,9.866356%,0.027031%,27200.253184,3391419.528533,
2024-10-06,100677488.754931,8.906968%,0.024403%,24561.982164,3415981.510697,
2024-10-07,160713430.365872,8.164609%,0.022369%,35941.610941,3451923.121638,Emprunt 60000000.000000
2024-10-08,160744305.858009,7.012205%,0.019212%,30875.492137,3482798.613775,
2024-10-09,160777378.935369,7.509861%,0.020575%,33073.077360,3515871.691135,
2024-10-10,160808940.560671,7.165183%,0.019631%,31561.625302,3547433.316437,
2024-10-11,160836623.281684,6.283353%,0.017215%,27682.721014,3575116.037451,
2024-10-12,160873103.407414,8.278740%,0.022681%,36480.125730,3611596.163180,
2024-10-13,160911100.439982,8.621029%,0.023619%,37997.032568,3649593.195748,
2024-10-14,160956631.991897,10.328073%,0.028296%,45531.551915,3695124.747663,
2024-10-15,160994307.318636,8.543602%,0.023407%,37675.326739,3732800.074402,
2024-10-16,161036708.012830,9.612920%,0.026337%,42400.694194,3775200.768596,
2024-10-17,161078066.409898,9.374145%,0.025683%,41358.397068,3816559.165664,
